REGION,PROV,MUN,CODIGO,PROVNAME,MUNNAME,STDNAME,IPUMS,GEOID_1,GEOID_2
10,1,1,101,DISTRITO NACIONAL,Santo Domingo de Guzmán,SANTO DOMINGO DE GUZMAN,Santo Domingo de Guzman,5,32
5,2,1,201,AZUA,Azua,AZUA,Azua and Pueblo Viejo,1,1
5,2,2,202,AZUA,Las Charcas,LAS CHARCAS,"Peralta, Las Charcas, Palmar de Ocoa, Villarpando, and  Estebanía",1,4
5,2,3,203,AZUA,Las Yayas de Viajama,LAS YAYAS DE VIAJAMA,"Tábara Arriba, Las Yayas de Viajama, and Guayabal",1,5
5,2,4,204,AZUA,Padre Las Casas,PADRE LAS CASAS,Padre las Casas and Sabana Yegua,1,6
5,2,5,205,AZUA,Peralta,PERALTA,"Peralta, Las Charcas, Palmar de Ocoa, Villarpando, and  Estebanía",1,7
5,2,6,206,AZUA,Sabana Yegua,SABANA YEGUA,Padre las Casas and Sabana Yegua,1,9
5,2,7,207,AZUA,Pueblo Viejo,PUEBLO VIEJO,Azua and Pueblo Viejo,1,8
5,2,8,208,AZUA,Tábara Arriba,TABARA ARRIBA,"Tábara Arriba, Las Yayas de Viajama, and Guayabal",1,10
5,2,9,209,AZUA,Guayabal,GUAYABAL,"Tábara Arriba, Las Yayas de Viajama, and Guayabal",1,3
5,2,10,210,AZUA,Estebanía,ESTEBANIA,"Peralta, Las Charcas, Palmar de Ocoa, Villarpando, and  Estebanía",1,2
6,3,1,301,BAORUCO,Neiba,NEIBA,"Neiba, Galvan, Villa Jaragua, and Los Ríos",2,13
6,3,2,302,BAORUCO,Galván,GALVAN,"Neiba, Galvan, Villa Jaragua, and Los Ríos",2,11
6,3,3,303,BAORUCO,Tamayo,TAMAYO,"Uvilla, Tamayo, and El Palmar",2,14
6,3,4,304,BAORUCO,Villa Jaragua,VILLA JARAGUA,"Neiba, Galvan, Villa Jaragua, and Los Ríos",2,15
6,3,5,305,BAORUCO,Los Ríos,LOS RIOS,"Neiba, Galvan, Villa Jaragua, and Los Ríos",2,12
6,4,1,401,BARAHONA,Barahona,BARAHONA,"Barahona, La Cienaga, El Peñon, Pescadería and Fundación",3,25
6,4,2,402,BARAHONA,Cabral,CABRAL,"Cabral, Las Salinas, El Cachón, and Polo",3,16
6,4,3,403,BARAHONA,Enriquillo,ENRIQUILLO,Paraiso and Enriquillo,3,18
6,4,4,404,BARAHONA,Paraíso,PARAISO,Paraiso and Enriquillo,3,23
6,4,5,405,BARAHONA,Vicente Noble,VICENTE NOBLE,"Vicente Noble, Canoa and Jaquimeyes",3,26
6,4,6,406,BARAHONA,El Peñón,EL PENON,"Barahona, La Cienaga, El Peñon, Pescadería and Fundación",3,17
6,4,7,407,BARAHONA,La Ciénaga,LA CIENAGA,"Barahona, La Cienaga, El Peñon, Pescadería and Fundación",3,21
6,4,8,408,BARAHONA,Fundación,FUNDACION,"Barahona, La Cienaga, El Peñon, Pescadería and Fundación",3,19
6,4,9,409,BARAHONA,Las Salinas,LAS SALINAS,"Cabral, Las Salinas, El Cachón, and Polo",3,22
6,4,10,410,BARAHONA,Polo,POLO,"Cabral, Las Salinas, El Cachón, and Polo",3,24
6,4,11,411,BARAHONA,Jaquimeyes,JAQUIMEYES,"Vicente Noble, Canoa and Jaquimeyes",3,20
4,5,1,501,DAJABÓN,Dajabón,DAJABON,Dajabón,4,27
4,5,2,502,DAJABÓN,Loma de Cabrera,LOMA DE CABRERA,"Loma de Cabrera, Partido, Restauración, and El Pino",4,29
4,5,3,503,DAJABÓN,Partido,PARTIDO,"Loma de Cabrera, Partido, Restauración, and El Pino",4,30
4,5,4,504,DAJABÓN,Restauración,RESTAURACION,"Loma de Cabrera, Partido, Restauración, and El Pino",4,31
4,5,5,505,DAJABÓN,El Pino,EL PINO,"Loma de Cabrera, Partido, Restauración, and El Pino",4,28
3,6,1,601,DUARTE,San Francisco de Macorís,SAN FRANCISCO DE MACORIS,San Francisco de Macorís,6,38
3,6,2,602,DUARTE,Arenoso,ARENOSO,Villa Riva and Arenoso,6,33
3,6,3,603,DUARTE,Castillo,CASTILLO,Castillo and Eugenio María de Hostos,6,34
3,6,4,604,DUARTE,Pimentel,PIMENTEL,Pimentel and Las Guáranas,6,37
3,6,5,605,DUARTE,Villa Riva,VILLA RIVA,Villa Riva and Arenoso,6,39
3,6,6,606,DUARTE,Las Guáranas,LAS GUARANAS,Pimentel and Las Guáranas,6,36
3,6,7,607,DUARTE,Eugenio María de Hostos,EUGENIO MARIA DE HOSTOS,Castillo and Eugenio María de Hostos,6,35
7,7,1,701,ELÍAS PIÑA,Comendador,COMENDADOR,"Comendador, Banica, and Pedro Santana",12,60
7,7,2,702,ELÍAS PIÑA,Bánica,BANICA,"Comendador, Banica, and Pedro Santana",12,59
7,7,3,703,ELÍAS PIÑA,El Llano,EL LLANO,"Hondo Valle, Juan Santiago, and El Llano",12,61
