SECT,DIV,GROUP,CLASS,SECT_DESC,DIV_DESC,GROUP_DESC,CLASS_DESC,SIZE,GEOCODE,PROVINCE,MUNICIPIO,PROVINCE_DESC,MUNICIPIO_DESC,EMPRESAS
A,A01,A01011,A010110111,"Agricultura, ganadería, caza y silvicultura","Agricultura, ganadería, caza y actividades de servicios conexas",Cultivos en general; cultivo de productos de mercado; horticultura,Cultivo de cereales y otros cultivos n.c.p.,050 a 099,20090101000000000,1,101,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMAN,1
A,A01,A01011,A010110111,"Agricultura, ganadería, caza y silvicultura","Agricultura, ganadería, caza y actividades de servicios conexas",Cultivos en general; cultivo de productos de mercado; horticultura,Cultivo de cereales y otros cultivos n.c.p.,050 a 099,20090101000000000,1,101,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMAN,1
A,A01,A01011,A010110111,"Agricultura, ganadería, caza y silvicultura","Agricultura, ganadería, caza y actividades de servicios conexas",Cultivos en general; cultivo de productos de mercado; horticultura,Cultivo de cereales y otros cultivos n.c.p.,010 a 049,20090101000000000,1,101,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMAN,1
A,A01,A01011,A010110111,"Agricultura, ganadería, caza y silvicultura","Agricultura, ganadería, caza y actividades de servicios conexas",Cultivos en general; cultivo de productos de mercado; horticultura,Cultivo de cereales y otros cultivos n.c.p.,010 a 049,20090101000000000,1,101,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMAN,1
A,A01,A01011,A010110111,"Agricultura, ganadería, caza y silvicultura","Agricultura, ganadería, caza y actividades de servicios conexas",Cultivos en general; cultivo de productos de mercado; horticultura,Cultivo de cereales y otros cultivos n.c.p.,010 a 049,20090101000000000,1,101,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMAN,1
A,A01,A01011,A010110111,"Agricultura, ganadería, caza y silvicultura","Agricultura, ganadería, caza y actividades de servicios conexas",Cultivos en general; cultivo de productos de mercado; horticultura,Cultivo de cereales y otros cultivos n.c.p.,010 a 049,20090101000000000,1,101,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMAN,1
A,A01,A01011,A010110111,"Agricultura, ganadería, caza y silvicultura","Agricultura, ganadería, caza y actividades de servicios conexas",Cultivos en general; cultivo de productos de mercado; horticultura,Cultivo de cereales y otros cultivos n.c.p.,001 a 009,20090101000000000,1,101,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMAN,3
A,A01,A01011,A010110111,"Agricultura, ganadería, caza y silvicultura","Agricultura, ganadería, caza y actividades de servicios conexas",Cultivos en general; cultivo de productos de mercado; horticultura,Cultivo de cereales y otros cultivos n.c.p.,001 a 009,20090101000000000,1,101,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMAN,2
A,A01,A01011,A010110111,"Agricultura, ganadería, caza y silvicultura","Agricultura, ganadería, caza y actividades de servicios conexas",Cultivos en general; cultivo de productos de mercado; horticultura,Cultivo de cereales y otros cultivos n.c.p.,001 a 009,20090101000000000,1,101,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMAN,3
A,A01,A01011,A010110111,"Agricultura, ganadería, caza y silvicultura","Agricultura, ganadería, caza y actividades de servicios conexas",Cultivos en general; cultivo de productos de mercado; horticultura,Cultivo de cereales y otros cultivos n.c.p.,010 a 049,20090101000000000,1,101,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMAN,1
A,A01,A01011,A010110111,"Agricultura, ganadería, caza y silvicultura","Agricultura, ganadería, caza y actividades de servicios conexas",Cultivos en general; cultivo de productos de mercado; horticultura,Cultivo de cereales y otros cultivos n.c.p.,050 a 099,20090101000000000,1,101,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMAN,1
A,A01,A01011,A010110111,"Agricultura, ganadería, caza y silvicultura","Agricultura, ganadería, caza y actividades de servicios conexas",Cultivos en general; cultivo de productos de mercado; horticultura,Cultivo de cereales y otros cultivos n.c.p.,250 o más,20090101000000000,1,101,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMAN,1
A,A01,A01011,A010110111,"Agricultura, ganadería, caza y silvicultura","Agricultura, ganadería, caza y actividades de servicios conexas",Cultivos en general; cultivo de productos de mercado; horticultura,Cultivo de cereales y otros cultivos n.c.p.,010 a 049,20090101000000000,1,101,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMAN,1
