PROVINCE,MUNICIPIO,ISIC,SIZE,EMPRESAS,MUNICINUM,PROVNUM
1,101,'0111,1-9,10,8021,8021
1,101,'0111,10-49,9,3121,3121
1,101,'0111,250-,1,248,248
1,101,'0111,50-99,3,484,484
1,101,'0112,1-9,9,8021,8021
1,101,'0112,10-49,8,3121,3121
1,101,'0112,100-249,2,298,298
1,101,'0112,250-,1,248,248
1,101,'0112,50-99,1,484,484
1,101,'0113,1-9,9,8021,8021
1,101,'0113,10-49,5,3121,3121
1,101,'0113,100-249,1,298,298
1,101,'0113,250-,2,248,248
1,101,'0121,1-9,6,8021,8021
1,101,'0121,100-249,2,298,298
1,101,'0122,1-9,9,8021,8021
1,101,'0122,10-49,2,3121,3121
1,101,'0122,250-,1,248,248
1,101,'0122,50-99,1,484,484
1,101,'0130,10-49,1,3121,3121
1,101,'0140,1-9,18,8021,8021
1,101,'0140,10-49,10,3121,3121
1,101,'0140,100-249,1,298,298
1,101,'0140,250-,1,248,248
1,101,'0500,1-9,1,8021,8021
1,101,'0500,10-49,1,3121,3121
1,101,'1010,1-9,2,8021,8021
1,101,'1010,10-49,1,3121,3121
1,101,'1010,100-249,2,298,298
1,101,'1120,1-9,1,8021,8021
1,101,'1320,1-9,1,8021,8021
1,101,'1320,50-99,1,484,484
1,101,'1410,1-9,2,8021,8021
1,101,'1410,10-49,3,3121,3121
1,101,'1422,1-9,1,8021,8021
1,101,'1429,1-9,3,8021,8021
1,101,'1429,10-49,4,3121,3121
1,101,'1429,100-249,1,298,298
1,101,'1429,250-,1,248,248
1,101,'1511,1-9,5,8021,8021
1,101,'1511,10-49,5,3121,3121
1,101,'1511,250-,1,248,248
1,101,'1512,1-9,1,8021,8021
1,101,'1512,10-49,1,3121,3121
1,101,'1513,1-9,8,8021,8021
1,101,'1513,10-49,7,3121,3121
1,101,'1513,50-99,1,484,484
1,101,'1514,250-,2,248,248
1,101,'1520,1-9,7,8021,8021
1,101,'1520,10-49,8,3121,3121
1,101,'1520,100-249,2,298,298
1,101,'1520,250-,1,248,248
1,101,'1531,1-9,1,8021,8021
1,101,'1531,10-49,1,3121,3121
1,101,'1531,250-,1,248,248
1,101,'1531,50-99,1,484,484
1,101,'1533,1-9,2,8021,8021
1,101,'1533,10-49,1,3121,3121
1,101,'1533,100-249,1,298,298
1,101,'1541,1-9,29,8021,8021
1,101,'1541,10-49,14,3121,3121
1,101,'1541,100-249,2,298,298
1,101,'1541,50-99,4,484,484
1,101,'1542,100-249,1,298,298
1,101,'1542,250-,2,248,248
1,101,'1543,1-9,1,8021,8021
1,101,'1543,10-49,1,3121,3121
1,101,'1543,100-249,2,298,298
1,101,'1543,250-,1,248,248
1,101,'1544,1-9,1,8021,8021
1,101,'1544,10-49,1,3121,3121
1,101,'1544,250-,3,248,248
1,101,'1549,1-9,8,8021,8021
1,101,'1549,10-49,10,3121,3121
