PROV,MUN,sg110,grossalary,occinc,frstsourcinc,yearsedu,CODIGO
1,01,01,5740.50836809,5740.50836809,143.512709202,10.0,101
1,01,05,5740.50836809,5740.50836809,143.512709202,10.0,101
1,01,1,7175.63546011,7175.63546011,1435.12709202,16.0,101
1,01,10,4011.6023184,4277.44413534,282.815712268,5.29411764706,101
1,01,11,4011.6023184,4277.44413534,282.815712268,5.29411764706,101
1,01,12,4011.6023184,4277.44413534,282.815712268,5.29411764706,101
1,01,13,4011.6023184,4277.44413534,282.815712268,5.29411764706,101
1,01,14,4011.6023184,4277.44413534,282.815712268,5.29411764706,101
1,01,15,6443.72064318,6337.52123837,,7.6,101
1,01,16,6443.72064318,6337.52123837,,7.6,101
1,01,17,13484.2149688,13350.2697735,621.888406543,9.25,101
1,01,18,13484.2149688,13350.2697735,621.888406543,9.25,101
1,01,19,4664.16304907,4305.38127607,,8.0,101
1,01,20,2332.08152454,4305.38127607,47.8375697341,9.5,101
1,01,21,4664.16304907,4305.38127607,,8.0,101
1,01,22,4664.16304907,4305.38127607,,8.0,101
1,01,23,4664.16304907,4305.38127607,,8.0,101
1,01,24,4664.16304907,4305.38127607,,8.0,101
1,01,25,4664.16304907,4305.38127607,,8.0,101
1,01,26,3819.03265044,3693.06038347,4305.38127607,10.0,101
1,01,27,3819.03265044,3693.06038347,4305.38127607,10.0,101
1,01,28,4310.16503304,4167.60907523,4305.38127607,10.4,101
1,01,29,4919.29675432,4688.08183394,,10.0,101
1,01,3,5740.50836809,5740.50836809,,11.0,101
1,01,30,4664.16304907,4305.38127607,,8.0,101
1,01,31,4664.16304907,4305.38127607,,8.0,101
1,01,32,4664.16304907,4305.38127607,,8.0,101
1,01,33,6338.47798976,6218.88406543,2583.22876564,9.0,101
1,01,34,4664.16304907,4305.38127607,,8.0,101
1,01,35,4664.16304907,4305.38127607,,8.0,101
1,01,36,2332.08152454,4305.38127607,47.8375697341,9.5,101
1,01,37,4664.16304907,4305.38127607,,8.0,101
1,01,40,4733.73254334,4589.12640397,7845.36143639,10.8333333333,101
1,01,45,5642.17558586,6217.68812619,1330.07578889,7.85714285714,101
1,01,50,3274.82334522,3815.52456199,1722.15251043,9.0,101
1,01,52,3453.57115811,3348.70259449,1043.25447745,7.52083333333,101
1,01,53,2788.9303155,2741.95382202,767.027593116,7.92307692308,101
1,01,55,2602.36379353,2233.31868738,466.201035843,8.83333333333,101
1,01,60,5538.70742007,5865.12523725,1582.62626537,10.4615384615,101
1,01,63,3654.79032768,3645.22281374,1243.77681309,12.0,101
1,01,64,3396.46745112,3829.73915414,2353.60843092,12.0,101
1,01,65,3085.52324785,3354.02248015,2946.79429562,10.5833333333,101
1,01,70,19374.2157423,19374.2157423,,10.0,101
1,01,72,4152.30105292,4573.27166658,2468.41859828,11.4444444444,101
1,01,73,8036.71171532,8036.71171532,358.781773005,17.3333333333,101
1,01,74,9739.0973809,10394.7133924,20498.3640817,14.387755102,101
1,01,75,3465.83192723,3465.83192723,7079.96032064,10.2857142857,101
1,01,80,8206.19339095,7864.49646428,645.80719141,14.0,101
1,01,85,9869.36901184,9849.75560824,3243.38722797,16.5,101
1,01,86,6099.29014109,4783.75697341,8610.76255213,18.0,101
1,01,90,1909.02766187,1948.32854013,1715.61243125,6.17857142857,101
1,01,91,8674.54597844,8629.89758003,1966.60249177,10.3333333333,101
1,01,92,6228.45157938,6082.06861599,1889.5840045,14.8,101
1,01,93,2975.93534851,3055.95962975,933.251188549,8.13636363636,101
1,01,99,3874.84314846,3874.84314846,669.725976277,12.0,101
2,01,01,1417.96184641,1393.00189091,387.229181141,5.47058823529,201
2,01,05,1417.96184641,1393.00189091,387.229181141,5.47058823529,201
2,01,1,2403.90348495,2388.15809057,1064.25835973,3.94285714286,201
2,01,10,5164.86294562,5137.27661374,865.860012187,8.33333333333,201
2,01,11,5164.86294562,5137.27661374,865.860012187,8.33333333333,201
2,01,12,5164.86294562,5137.27661374,865.860012187,8.33333333333,201
2,01,13,5164.86294562,5137.27661374,865.860012187,8.33333333333,201
2,01,14,5164.86294562,5137.27661374,865.860012187,8.33333333333,201
2,01,15,3287.39779212,3280.70053236,574.050836809,7.2,201
2,01,16,3287.39779212,3280.70053236,574.050836809,7.2,201
2,01,17,2615.1204788,2608.1043019,1004.58896442,7.5,201
2,01,18,2615.1204788,2608.1043019,1004.58896442,7.5,201
2,01,19,3571.07458065,3562.70300594,574.050836809,7.25,201
2,01,20,3571.07458065,3562.70300594,574.050836809,7.25,201
2,01,21,3571.07458065,3562.70300594,574.050836809,7.25,201
2,01,22,3571.07458065,3562.70300594,574.050836809,7.25,201
2,01,23,3571.07458065,3562.70300594,574.050836809,7.25,201
2,01,24,3571.07458065,3562.70300594,574.050836809,7.25,201
2,01,25,3571.07458065,3562.70300594,574.050836809,7.25,201
2,01,26,3055.86395461,3047.63589262,459.240669447,5.8,201
2,01,27,3055.86395461,3047.63589262,459.240669447,5.8,201
2,01,28,3576.8834284,3571.00624126,1103.4532752,6.14285714286,201
2,01,29,4007.19375806,4001.61270825,1482.96466176,7.16666666667,201
2,01,30,3571.07458065,3562.70300594,574.050836809,7.25,201
2,01,31,3571.07458065,3562.70300594,574.050836809,7.25,201
2,01,32,3571.07458065,3562.70300594,574.050836809,7.25,201
2,01,33,3571.07458065,3562.70300594,574.050836809,7.25,201
2,01,34,3571.07458065,3562.70300594,574.050836809,7.25,201
2,01,35,3571.07458065,3562.70300594,574.050836809,7.25,201
2,01,36,3571.07458065,3562.70300594,574.050836809,7.25,201
2,01,37,3571.07458065,3562.70300594,574.050836809,7.25,201
2,01,40,523.821388588,697.471766723,2420.58102854,10.0,201
2,01,5,3420.38623599,3401.25120809,478.375697341,9.0,201
2,01,50,2487.55362617,2425.36478552,,4.5,201
2,01,52,2101.17325524,2186.4161247,1282.04686887,8.30769230769,201
2,01,53,1396.85703623,1394.94353345,1259.72266966,3.4,201
2,01,55,2934.03761036,2918.09175378,861.076255213,9.0,201
2,01,60,2194.14986514,1925.27819114,1835.51160484,8.08333333333,201
2,01,63,1958.94848061,1943.87964614,497.510725234,8.0,201
2,01,65,2095.28555435,2066.58301251,,13.6,201
2,01,74,5420.95340226,5945.84193664,1877.62461206,14.0,201
2,01,75,1664.74742675,2080.93428343,1176.80421546,11.0,201
2,01,80,4436.59289591,4436.59289591,509.470117668,15.5714285714,201
2,01,85,2948.75563598,2948.75563598,16.7431494069,14.0,201
2,01,90,1809.32319305,1794.75305743,360.394582499,8.11764705882,201
2,01,93,1530.80223149,1481.05115897,1259.72266966,8.18181818182,201
2,02,01,2611.93130748,2591.83952819,,7.0,202
2,02,05,2611.93130748,2591.83952819,,7.0,202
2,02,1,5370.56449548,5332.93227395,1478.18090478,5.33333333333,202
2,02,10,3520.84513243,3409.86197064,545.348294968,7.33333333333,202
2,02,11,3520.84513243,3409.86197064,545.348294968,7.33333333333,202
2,02,12,3520.84513243,3409.86197064,545.348294968,7.33333333333,202
2,02,13,3520.84513243,3409.86197064,545.348294968,7.33333333333,202
2,02,14,3520.84513243,3409.86197064,545.348294968,7.33333333333,202
2,02,5,5370.56449548,5332.93227395,1478.18090478,5.33333333333,202
2,02,52,2138.33936711,2134.03398584,1028.50774928,8.33333333333,202
2,02,74,5740.50836809,,,13.0,202
2,02,90,1205.5067573,1205.5067573,420.460346249,6.8,202
2,03,1,1776.14062484,2469.56669995,1145.40363468,3.0,203
2,03,10,4187.38193739,4155.1713071,172.215251043,6.5,203
2,03,11,4187.38193739,4155.1713071,172.215251043,6.5,203
