occ,mun,inctot,educdo,edu10
1,101,2.14360047251,13.0726600985,11.9207317073
1,201,1.18424750224,12.3125,7.5
1,204,1.07511889282,9.75,8.0
1,206,1.07511889282,9.75,8.0
1,207,1.18424750224,12.3125,7.5
1,301,1.04855849052,11.4285714286,9.75
1,302,1.04855849052,11.4285714286,9.75
1,303,1.14248223196,10.3333333333,
1,304,1.04855849052,11.4285714286,9.75
1,305,1.04855849052,11.4285714286,9.75
1,401,5.44861315368,13.1764705882,13.0
1,402,0.463459773344,11.6666666667,
1,403,1.29337611166,14.5,
1,404,1.29337611166,14.5,
1,405,1.23443511457,11.5714285714,
1,406,5.44861315368,13.1764705882,13.0
1,407,5.44861315368,13.1764705882,13.0
1,408,5.44861315368,13.1764705882,13.0
1,409,0.463459773344,11.6666666667,
1,410,0.463459773344,11.6666666667,
1,411,1.23443511457,11.5714285714,
1,501,1.08195886264,10.2307692308,8.25
1,502,0.903129264877,10.0,12.0
1,503,0.903129264877,10.0,12.0
1,504,0.903129264877,10.0,12.0
1,505,0.903129264877,10.0,12.0
1,601,1.08859156065,11.7083333333,13.5
1,602,0.533517646059,13.0,
1,603,0.970032083744,9.0,
1,605,0.533517646059,13.0,
1,607,0.970032083744,9.0,
1,701,1.31762691375,14.25,10.0
1,702,1.31762691375,14.25,10.0
1,705,1.31762691375,14.25,10.0
1,801,0.727524062808,11.75,9.0
1,802,0.549684847455,9.0,
1,901,0.967725357373,14.1285773538,8.5
1,902,0.967725357373,14.1285773538,8.5
1,903,1.6062170853,13.0116009281,
1,904,1.6062170853,13.0116009281,
1,1001,1.18222660206,10.3125,9.0
1,1002,1.18222660206,10.3125,9.0
1,1003,1.18222660206,10.3125,9.0
1,1004,1.18222660206,10.3125,9.0
1,1005,1.18222660206,10.3125,9.0
1,1006,1.18222660206,10.3125,9.0
1,1101,2.37118953804,14.6666666667,7.0
1,1102,0.646688055829,13.0,
1,1201,1.20041470363,10.75,12.0
1,1202,1.20041470363,10.75,12.0
1,1301,1.51490650995,12.2453603148,16.125
1,1302,1.73780051661,11.6837708831,5.5
1,1303,1.1317040977,11.5,5.0
1,1304,1.1317040977,11.5,
1,1401,1.51562124018,11.3333333333,12.0
1,1402,1.30954331305,12.0,
1,1404,1.30954331305,12.0,
1,1501,1.5197169312,12.0,
1,1502,0.646688055829,10.5,
1,1503,1.45504812562,10.0,
1,1504,1.45504812562,10.0,
1,1505,1.5197169312,12.0,
1,1506,0.646688055829,10.5,
1,1601,1.09936969491,9.33333333333,
1,1602,1.09936969491,9.33333333333,
1,1701,1.06950052399,12.0359066109,4.0
1,1702,1.04268758882,11.8367507886,
1,1801,1.20801328829,9.4,10.25
