mun,1,11,12,13,21,22,23,24,31,32,33,34,41,42,51,52,61,71,72,73,74,81,82,83,91,92,93,98,10,14,15,16,17,18,19,20,25,26,27,28,29,30,35,36,40,45,5,50,55,60,62,63,64,65,66,67,70,80,85,90,37,2,MUNTOTAL,share1,share11,share12,share13,share21,share22,share23,share24,share31,share32,share33,share34,share41,share42,share51,share52,share61,share71,share72,share73,share74,share81,share82,share83,share91,share92,share93,share98,share10,share14,share15,share16,share17,share18,share19,share20,share25,share26,share27,share28,share29,share30,share35,share36,share40,share45,share5,share50,share55,share60,share62,share63,share64,share65,share66,share67,share70,share80,share85,share90,share37,share2
101,2571.0,20.5,248,475.0,1051.0,4438.0,907.0,4572.5,1106.0,123.0,505.5,1446.5,2211.0,885,12881.5,16886.0,330.0,1029.5,1961.0,300.5,14666.5,15,363,484,6674.0,2474.0,1439.0,218,195.0,357.5,5307.5,180.0,1297.5,965.0,417.5,302.5,1330.0,915.0,1067.5,1147.5,500.0,25.0,40.0,935.0,2222.5,7710.0,17.5,8345.0,10130.0,1962.5,752.5,4317.5,5287.5,7910.0,1925.0,1795.0,6135.0,5180.0,6635.0,60.0,0.0,0.0,165649.5,0.0155207229723,0.000123755278464,0.00149713702728,0.00286750035466,0.00634472183737,0.0267915085768,0.0054754164667,0.0276034639404,0.00667674819423,0.000742531670787,0.00305162406165,0.00873229318531,0.0133474595456,0.00534260592395,0.0777635911971,0.101938128398,0.00199215814114,0.00621492971606,0.0118382488326,0.001814071277,0.0885393556878,9.05526427789e-05,0.00219137395525,0.00292183194033,0.0402898891937,0.0149351492157,0.00868701686392,0.00131603174172,0.00117718435613,0.00215817131956,0.0320405434366,0.00108663171335,0.00783280360037,0.00582555335211,0.00252038189068,0.00182614496271,0.00802900099306,0.00552371120951,0.00644432974443,0.00692727717258,0.00301842142596,0.000150921071298,0.000241473714077,0.00564444806655,0.0134168832384,0.0465440583883,0.000105644749909,0.0503774535993,0.06115321809,0.0118473040969,0.00454272424607,0.0260640690132,0.0319198065796,0.0477514269587,0.01162092249,0.0108361329192,0.0370360308966,0.031270845973,0.0400544523225,0.000362210571116,0.0,0.0
201,121.5,3.0,5,2.0,2.0,47.0,69.0,20.0,10.0,16.0,26.0,31.0,54.0,29,38.0,158.0,61.0,55.0,42.0,2.0,26.0,3,6,54,199.5,33.0,44.0,15,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.5,2.5,0.0,90.0,12.5,37.5,0.0,0.0,7.5,40.0,35.0,0.0,0.0,0.0,1477.0,0.0822613405552,0.00203114421124,0.00338524035206,0.00135409614083,0.00135409614083,0.0318212593094,0.0467163168585,0.0135409614083,0.00677048070413,0.0108327691266,0.0176032498307,0.0209884901828,0.0365605958023,0.019634394042,0.0257278266757,0.106973595125,0.0412999322952,0.0372376438727,0.0284360189573,0.00135409614083,0.0176032498307,0.00203114421124,0.00406228842248,0.0365605958023,0.135071090047,0.0223425863236,0.0297901150982,0.0101557210562,0.0,0.0,0.0372376438727,0.0,0.0,0.0,0.0,0.0,0.0,0.00169262017603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0135409614083,0.00169262017603,0.00169262017603,0.0,0.0609343263372,0.00846310088016,0.0253893026405,0.0,0.0,0.0050778605281,0.0270819228165,0.0236966824645,0.0,0.0,0.0
202,5.0,2.0,0,1.0,0.0,30.0,8.0,1.0,1.0,0.0,4.0,6.0,10.0,2,23.0,35.0,40.0,12.0,10.0,0.0,7.0,0,3,8,62.0,23.0,15.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,0.0159744408946,0.00638977635783,0.0,0.00319488817891,0.0,0.0958466453674,0.0255591054313,0.00319488817891,0.00319488817891,0.0,0.0127795527157,0.0191693290735,0.0319488817891,0.00638977635783,0.073482428115,0.111821086262,0.127795527157,0.038338658147,0.0319488817891,0.0,0.0223642172524,0.0,0.00958466453674,0.0255591054313,0.198083067093,0.073482428115,0.0479233226837,0.0159744408946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,1.0,16.0,3,0.0,0.0,12.0,16.0,2.0,1.0,3.0,3.0,1.0,9.0,2,4.0,15.0,17.0,14.0,1.0,0.0,5.0,0,3,8,27.0,4.0,12.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,0.00549450549451,0.0879120879121,0.0164835164835,0.0,0.0,0.0659340659341,0.0879120879121,0.010989010989,0.00549450549451,0.0164835164835,0.0164835164835,0.00549450549451,0.0494505494505,0.010989010989,0.021978021978,0.0824175824176,0.0934065934066,0.0769230769231,0.00549450549451,0.0,0.0274725274725,0.0,0.0164835164835,0.043956043956,0.148351648352,0.021978021978,0.0659340659341,0.0164835164835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,6.0,1.0,4,1.0,0.0,28.0,18.0,4.0,2.0,2.0,7.0,8.0,31.0,18,25.0,22.5,43.0,15.0,10.0,1.0,4.0,1,5,18,60.0,15.0,12.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,384.5,0.0156046814044,0.00260078023407,0.0104031209363,0.00260078023407,0.0,0.072821846554,0.0468140442133,0.0104031209363,0.00520156046814,0.00520156046814,0.0182054616385,0.0208062418726,0.0806241872562,0.0468140442133,0.0650195058518,0.0585175552666,0.111833550065,0.0390117035111,0.0260078023407,0.00260078023407,0.0104031209363,0.00260078023407,0.0130039011704,0.0468140442133,0.156046814044,0.0390117035111,0.0312093628088,0.0208062418726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0390117035111,0.0,0.0,0.0
205,5.0,2.0,0,1.0,0.0,30.0,8.0,1.0,1.0,0.0,4.0,6.0,10.0,2,8.0,35.0,40.0,12.0,10.0,0.0,7.0,0,3,8,62.0,23.0,15.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,0.0167785234899,0.00671140939597,0.0,0.00335570469799,0.0,0.10067114094,0.0268456375839,0.00335570469799,0.00335570469799,0.0,0.0134228187919,0.0201342281879,0.0335570469799,0.00671140939597,0.0268456375839,0.11744966443,0.134228187919,0.0402684563758,0.0335570469799,0.0,0.0234899328859,0.0,0.010067114094,0.0268456375839,0.208053691275,0.0771812080537,0.0503355704698,0.0167785234899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,6.0,1.0,4,1.0,0.0,28.0,18.0,4.0,2.0,2.0,7.0,8.0,31.0,18,10.0,20.0,43.0,15.0,10.0,1.0,4.0,1,5,18,60.0,15.0,12.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,0.0170454545455,0.00284090909091,0.0113636363636,0.00284090909091,0.0,0.0795454545455,0.0511363636364,0.0113636363636,0.00568181818182,0.00568181818182,0.0198863636364,0.0227272727273,0.0880681818182,0.0511363636364,0.0284090909091,0.0568181818182,0.122159090909,0.0426136363636,0.0284090909091,0.00284090909091,0.0113636363636,0.00284090909091,0.0142045454545,0.0511363636364,0.170454545455,0.0426136363636,0.0340909090909,0.0227272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,24.0,3.0,5,2.0,2.0,47.0,69.0,20.0,10.0,16.0,26.0,31.0,54.0,29,33.0,98.0,61.0,55.0,42.0,2.0,26.0,3,6,54,162.0,23.0,44.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,962.0,0.024948024948,0.0031185031185,0.00519750519751,0.002079002079,0.002079002079,0.0488565488565,0.0717255717256,0.02079002079,0.010395010395,0.016632016632,0.027027027027,0.0322245322245,0.0561330561331,0.0301455301455,0.0343035343035,0.101871101871,0.0634095634096,0.0571725571726,0.043659043659,0.002079002079,0.027027027027,0.0031185031185,0.00623700623701,0.0561330561331,0.168399168399,0.0239085239085,0.045738045738,0.0155925155925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,1.0,16.0,3,0.0,0.0,12.0,16.0,2.0,1.0,3.0,3.0,1.0,9.0,2,4.0,15.0,17.0,14.0,1.0,0.0,5.0,0,3,8,27.0,4.0,12.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,0.00549450549451,0.0879120879121,0.0164835164835,0.0,0.0,0.0659340659341,0.0879120879121,0.010989010989,0.00549450549451,0.0164835164835,0.0164835164835,0.00549450549451,0.0494505494505,0.010989010989,0.021978021978,0.0824175824176,0.0934065934066,0.0769230769231,0.00549450549451,0.0,0.0274725274725,0.0,0.0164835164835,0.043956043956,0.148351648352,0.021978021978,0.0659340659341,0.0164835164835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,1.0,16.0,3,0.0,0.0,12.0,16.0,2.0,1.0,3.0,3.0,1.0,9.0,2,4.0,15.0,17.0,14.0,1.0,0.0,5.0,0,3,8,27.0,4.0,12.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,0.00549450549451,0.0879120879121,0.0164835164835,0.0,0.0,0.0659340659341,0.0879120879121,0.010989010989,0.00549450549451,0.0164835164835,0.0164835164835,0.00549450549451,0.0494505494505,0.010989010989,0.021978021978,0.0824175824176,0.0934065934066,0.0769230769231,0.00549450549451,0.0,0.0274725274725,0.0,0.0164835164835,0.043956043956,0.148351648352,0.021978021978,0.0659340659341,0.0164835164835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
