MUNICIPIO,ISIC,ESTWORKERS
101,'0111,845
101,'0112,1010
101,'0113,970
101,'0121,380
101,'0122,480
101,'0130,30
101,'0140,865
101,'0500,35
101,'1010,390
101,'1120,5
101,'1320,80
101,'1410,100
101,'1422,5
101,'1429,610
101,'1511,475
101,'1512,35
101,'1513,325
101,'1514,600
101,'1520,925
101,'1531,410
101,'1533,215
101,'1541,1215
101,'1542,775
101,'1543,685
101,'1544,935
101,'1549,1790
101,'1551,425
101,'1552,40
101,'1553,815
101,'1554,950
101,'1600,360
101,'1711,1225
101,'1712,85
101,'1721,10
101,'1722,25
101,'1723,495
101,'1729,395
101,'1730,360
101,'1810,1845
101,'1820,85
101,'1912,35
101,'1920,800
101,'2010,330
101,'2021,40
101,'2022,190
101,'2029,45
101,'2101,385
101,'2102,480
101,'2109,5
101,'2211,940
101,'2212,140
101,'2213,10
101,'2219,255
101,'2221,4330
101,'2222,2015
101,'2230,90
101,'2320,390
101,'2411,520
101,'2413,75
101,'2421,40
101,'2422,10
101,'2423,2940
101,'2424,1800
101,'2429,940
101,'2511,70
101,'2519,380
101,'2520,2210
101,'2610,215
101,'2691,355
101,'2692,60
101,'2693,45
101,'2694,565
101,'2695,205
101,'2696,5
101,'2699,380
101,'2710,2095
101,'2720,5
101,'2731,35
101,'2811,1275
101,'2892,70
101,'2893,275
101,'2899,675
101,'2912,10
101,'2915,75
101,'2919,410
101,'2921,10
101,'2922,20
101,'2924,5
101,'2925,30
101,'2926,5
101,'2929,325
101,'2930,110
101,'3000,50
101,'3110,375
101,'3120,405
101,'3130,60
101,'3140,30
101,'3150,90
101,'3190,390
101,'3210,35
101,'3220,35
101,'3230,10
101,'3311,60
101,'3312,10
101,'3313,30
101,'3320,735
101,'3410,70
101,'3430,105
101,'3511,40
101,'3530,35
101,'3592,5
101,'3610,1540
101,'3691,150
101,'3693,5
101,'3694,5
101,'3699,170
101,'4010,2840
101,'4020,1265
101,'4030,340
101,'4100,340
101,'4510,1225
101,'4520,11495
101,'4530,1645
101,'4540,365
101,'4550,690
101,'5010,5020
101,'5020,3465
101,'5030,4895
101,'5040,175
101,'5050,3135
101,'5110,810
101,'5121,395
101,'5122,2515
101,'5131,3740
101,'5139,1905
101,'5141,1225
101,'5142,70
101,'5143,1930
101,'5149,195
101,'5150,2465
101,'5190,8785
101,'5211,3240
101,'5219,1460
101,'5220,1285
101,'5231,4155
101,'5232,5325
101,'5233,3585
101,'5234,3715
101,'5239,6005
101,'5240,530
101,'5251,30
101,'5259,355
101,'5260,745
101,'5510,11690
101,'5520,8570
101,'6010,5
101,'6021,3000
101,'6022,380
101,'6023,510
101,'6030,30
101,'6110,125
101,'6120,395
101,'6210,440
101,'6220,1065
101,'6301,340
101,'6302,725
101,'6303,2025
101,'6304,4265
101,'6309,1280
101,'6412,1320
101,'6420,9255
101,'6519,5745
101,'6592,8690
101,'6599,1385
101,'6602,1565
101,'6603,2285
101,'6711,170
101,'6719,855
101,'6720,2565
101,'7010,4135
101,'7020,8135
101,'7111,760
101,'7122,65
101,'7123,45
101,'7129,65
101,'7130,240
101,'7210,210
101,'7220,1355
101,'7230,60
101,'7240,5
101,'7250,420
101,'7290,680
101,'7310,225
101,'7320,90
101,'7411,4205
101,'7412,920
101,'7413,320
101,'7414,1235
101,'7421,4020
101,'7422,60
101,'7430,3990
101,'7491,225
101,'7492,8770
101,'7493,2390
101,'7494,165
101,'7495,85
101,'7499,2040
101,'8010,3915
101,'8021,590
101,'8022,1770
101,'8030,2950
101,'8090,1135
101,'8511,9360
101,'8512,1245
101,'8519,2035
101,'8520,320
101,'8531,130
101,'8532,180
101,'9000,120
101,'9111,3930
101,'9120,95
101,'9191,1255
101,'9192,80
101,'9199,2900
101,'9211,495
101,'9213,655
101,'9214,310
101,'9219,805
101,'9220,45
101,'9231,25
101,'9232,45
101,'9233,175
101,'9241,1115
101,'9249,1270
101,'9301,325
101,'9302,1090
101,'9303,5
101,'9309,790
201,'0113,90
201,'0140,105
201,'1541,5
201,'1554,105
201,'2695,5
201,'5010,5
201,'5020,30
201,'5050,5
201,'5150,5
201,'5190,5
201,'5231,60
201,'5232,5
201,'5233,30
201,'5234,35
201,'5239,35
201,'5259,5
201,'5510,5
201,'6021,5
201,'6304,180
201,'6420,25
201,'6592,75
201,'7010,10
201,'7020,5
201,'8022,5
201,'8030,75
201,'8511,70
201,'9111,75
201,'9211,5
201,'9213,15
202,'5190,30
204,'5121,30
204,'5231,5
204,'8532,30
207,'5231,50
301,'0113,75
301,'5030,5
301,'5211,5
301,'5231,35
303,'8511,30
401,'0111,175
401,'0113,30
401,'1549,300
401,'1554,10
401,'1810,300
401,'2221,5
401,'2222,5
401,'2423,5
401,'2693,175
401,'3610,35
401,'3720,75
401,'4520,10
401,'5010,60
401,'5050,40
401,'5141,5
401,'5190,5
401,'5219,5
401,'5231,35
401,'5232,5
401,'5234,35
401,'5239,75
401,'5510,125
401,'5520,10
401,'6021,30
401,'6309,10
401,'6420,25
401,'6519,30
401,'6592,40
401,'7010,5
401,'7020,10
401,'7123,30
401,'7129,5
401,'7421,5
401,'8010,30
401,'8022,175
401,'8511,35
401,'9211,5
402,'1514,5
402,'5231,5
404,'5050,5
405,'5231,5
501,'1554,40
501,'5050,5
501,'5110,175
501,'5219,5
501,'5231,30
501,'6220,30
501,'6420,5
501,'7411,5
502,'5231,10
502,'6420,5
503,'5231,5
601,'0111,645
601,'0121,5
601,'0140,5
601,'1520,30
601,'1541,65
601,'1543,210
601,'1551,30
601,'1554,345
601,'1712,300
601,'1723,75
601,'1810,5
601,'1820,75
601,'2221,35
601,'2222,30
601,'2423,5
601,'2429,5
601,'2520,30
