mun,duty02,duty13,inc02,edu02,edu10,grossalary13,occinc13,frstsourcinc13,edu13,prov
101,10.3365121137,2.78737844934,5918.63700954,11.6529203642,9.11194389121,5277.48583779,5422.01151578,5120.83953189,10.0736842105,1
201,18.920952381,6.84221590814,3489.05106142,8.65413533835,6.05964588053,2516.35390068,2546.96734417,1118.05098208,8.06666666667,2
301,17.76,1.97319946036,2379.74229359,8.73518041237,5.15154406662,1855.39250465,1799.83952774,7231.39326748,6.01162790698,3
401,15.0685990991,3.02196729808,5017.50773686,9.84213421342,6.69933946686,2421.15617909,2451.08156294,9362.73256668,8.8875739645,4
402,7.71428571429,2.33395176252,3603.20550695,7.89182692308,5.22764863657,1513.58070639,1509.32316268,904.78239847,9.75,4
501,20.0,11.25,3873.40631525,8.87049180328,6.59788702027,2595.46994102,2570.31262181,1437.27610285,7.375,5
601,11.8053126261,4.39519862139,2126.27946708,9.10402230016,6.66033575017,3307.44755755,3364.74786584,5784.13392626,9.09777777778,6
605,11.6,3.39831002331,1753.47413676,7.10087750987,2.58747641116,2399.47621837,2459.89481313,924.479434176,7.33333333333,6
801,14.9265118969,2.57699769009,1677.37745705,6.15240328253,5.22519083969,2371.00658705,2406.05304001,1237.99165632,6.58888888889,8
802,3.0,1.68,1628.47876958,6.28719008264,5.28661538462,1797.8757035,1937.9477875,692.688009749,3.38461538462,8
901,11.7891025639,1.7607081091,2444.51030409,8.54055472932,6.39636764188,3128.49239234,3108.43402678,1071.4364484,8.39285714286,9
1001,14.8515151515,4.27890796073,2896.48899357,7.97871046229,5.17148035547,3804.14985096,3648.09306792,1706.94016325,8.77777777778,10
1002,17.76,1.97319946036,2896.48899357,7.97871046229,5.17148035547,1395.44753641,1462.69236334,651.857504991,5.83636363636,10
1101,13.795208177,5.35012061158,3048.11679974,7.95142053074,6.31854518969,4120.35865056,4105.83801602,1849.29750431,8.77528089888,11
1102,5.16,0.288760896638,2569.63662629,5.6614418697,3.324424485,852.290088239,835.865855963,905.979787337,5.16666666667,11
1201,14.7821332549,3.8377194632,2698.8457799,8.51338289963,7.64223087206,5056.63790264,4588.65675469,1817.05565049,11.010989011,12
1301,16.315017627,2.76156712176,2539.17189434,8.60891596046,6.67473687876,2815.72991609,2838.47631464,4226.21686306,8.52960526316,13
1303,12.8860110889,3.65009747632,1805.42094433,7.17817285084,4.89489196393,2372.32846789,2370.06087509,786.0191083,6.24358974359,13
1304,13.4365179133,4.71446170109,1568.74189158,7.02910124222,3.46704582912,2863.34431286,2799.72034511,670.92191552,7.88888888889,13
1401,16.9799213147,8.75351693957,1883.94982995,8.67525257871,5.79854868325,3451.7038983,3497.91325742,1610.43265007,9.50526315789,14
1402,16.5597043036,0.156309315684,2069.05947444,8.13636118364,5.51159669585,2592.90500134,2579.79113563,857.546905624,10.5681818182,14
