mun,duty02,duty13,inc02,edu02,edu10,grossalary13,occinc13,frstsourcinc13,edu13,prov
101,8.24069430148,1.3993973614,5918.63700954,11.6529203642,9.11194389121,5277.48583779,5422.01151578,5120.83953189,10.0736842105,1
201,9.28827597717,1.21265559326,3489.05106142,8.65413533835,6.05964588053,2516.35390068,2546.96734417,1118.05098208,8.06666666667,2
202,10.4291940689,2.060277769,1593.02299697,5.08838383838,5.02538209607,2836.01255518,2647.33110908,872.068265681,7.47368421053,2
203,5.74021563563,1.49459049156,1877.98708419,6.9532967033,4.7660472973,1893.48755019,1869.21389753,1216.00894376,5.0,2
204,9.04862896291,2.10572392063,1760.76163581,6.84857142857,4.98517478152,2690.56431273,2717.29741269,1123.11798285,7.53125,2
205,10.4291940689,2.060277769,1593.02299697,5.08838383838,5.02538209607,2298.44487907,2295.91632182,786.258296149,7.67857142857,2
206,9.04862896291,2.10572392063,1760.76163581,6.84857142857,4.98517478152,2201.6866527,2305.51937224,1333.73270533,8.11428571429,2
208,5.74021563563,1.49459049156,1877.98708419,6.9532967033,4.7660472973,2223.99253572,2272.09321209,713.277299763,5.125,2
209,5.74021563563,1.49459049156,1877.98708419,6.9532967033,4.7660472973,1612.49408134,1609.5502309,476.515347407,5.23076923077,2
301,8.07175215216,1.05974477896,2379.74229359,8.73518041237,5.15154406662,1855.39250465,1799.83952774,7231.39326748,6.01162790698,3
302,7.3375846845,1.02763932326,2379.74229359,8.73518041237,5.15154406662,3050.73887011,3126.82210519,771.077840687,2.97222222222,3
303,11.5263170908,1.6788521175,1927.89988719,6.42137096774,4.87382128424,2039.79029365,2063.40884906,18836.3659864,4.47916666667,3
304,7.3375846845,1.02763932326,2379.74229359,8.73518041237,5.15154406662,4384.95907332,3918.17988628,1169.46912143,11.0,3
305,7.3375846845,1.02763932326,2379.74229359,8.73518041237,5.15154406662,2139.994963,2124.56214703,675.546213928,8.90909090909,3
401,12.0160834781,1.21785928221,5017.50773686,9.84213421342,6.69933946686,2421.15617909,2451.08156294,9362.73256668,8.8875739645,4
402,10.0338029098,1.10571039079,3603.20550695,7.89182692308,5.22764863657,1513.58070639,1509.32316268,904.78239847,9.75,4
403,12.4482370074,1.95694447417,2304.82741147,5.74781659389,4.45710251955,1528.76913478,1522.71904899,733.436051649,4.55555555556,4
404,12.4482370074,1.95694447417,2304.82741147,5.74781659389,4.45710251955,2030.54175259,2011.52631862,1106.38731281,7.41860465116,4
405,9.65990164505,0.86862583628,3895.57925412,6.99545454545,5.36565096953,2904.90018152,3046.86740521,737.192895459,9.84848484848,4
406,6.88917209551,0.706881590453,5017.50773686,9.84213421342,6.69933946686,1879.73509308,1928.27263902,1429.86495935,8.35294117647,4
407,6.88917209551,0.706881590453,5017.50773686,9.84213421342,6.69933946686,5694.44762237,5647.22510711,678.858168339,5.31428571429,4
409,9.85270225857,1.06855116545,3603.20550695,7.89182692308,5.22764863657,6313.1240778,6191.71232582,621.888406543,11.8,4
410,9.85270225857,1.06855116545,3603.20550695,7.89182692308,5.22764863657,1589.80190083,1583.90193389,1010.55271478,5.33333333333,4
411,9.65990164505,0.86862583628,3895.57925412,6.99545454545,5.36565096953,3307.6689623,3470.23981759,430.538127607,8.86666666667,4
501,9.19395893855,0.950800690135,3873.40631525,8.87049180328,6.59788702027,2595.46994102,2570.31262181,1437.27610285,7.375,5
502,7.50626345263,1.1963249968,2282.20889754,8.20218579235,5.53563330094,2870.89201831,2864.3223254,1547.35403062,9.26666666667,5
503,7.50626345263,1.1963249968,2282.20889754,8.20218579235,5.53563330094,2240.52573135,2428.14245086,829.904098835,8.11764705882,5
505,7.50626345263,1.1963249968,2282.20889754,8.20218579235,5.53563330094,2410.91783946,2321.33111796,2410.5351389,6.9,5
601,9.23683732008,1.28736981501,2126.27946708,9.10402230016,6.66033575017,3307.44755755,3364.74786584,5784.13392626,9.09777777778,6
602,8.98033592877,2.72556630596,1753.47413676,7.10087750987,2.58747641116,2873.12443823,2867.76663042,1491.21185878,6.42857142857,6
603,9.09036025972,2.32589292538,1597.48133043,7.81926163522,3.89259574468,4036.89291593,3987.85940696,1722.15251043,11.6666666667,6
604,8.89339407278,1.91390701829,1617.4117704,7.52568134172,6.36650943396,2692.65720641,2314.36512802,780.087249653,8.77419354839,6
605,9.03385861218,2.73632100056,1753.47413676,7.10087750987,2.58747641116,2399.47621837,2459.89481313,924.479434176,7.33333333333,6
606,8.89339407278,1.91390701829,1617.4117704,7.52568134172,6.36650943396,1767.80984668,1758.60473856,593.249648129,6.30303030303,6
701,7.11734264057,0.987062088087,2631.40862711,8.24204545455,4.32932845321,2119.6032865,2261.53306857,498.412805121,5.0,7
702,7.11734264057,0.987062088087,2631.40862711,8.24204545455,4.32932845321,1549.93725938,1530.46053456,927.420130496,4.07142857143,7
704,10.7204666696,0.971381474701,1974.05011991,7.04292929293,3.554007431,1725.81392442,1714.36970581,742.55389244,3.44,7
801,13.3078629291,3.22740073012,1677.37745705,6.15240328253,5.22519083969,2371.00658705,2406.05304001,1237.99165632,6.58888888889,8
802,9.9546224349,2.11239107796,1628.47876958,6.28719008264,5.28661538462,1797.8757035,1937.9477875,692.688009749,3.38461538462,8
901,10.59247791,1.23546845044,2444.51030409,8.54055472932,6.39636764188,3128.49239234,3108.43402678,1071.4364484,8.39285714286,9
903,7.03859626196,1.86388098599,3039.60633386,7.69663862941,3.93333925465,2083.32616192,1792.56941307,1079.2155732,5.93333333333,9
904,7.03859626196,1.86388098599,3039.60633386,7.69663862941,3.93333925465,3308.75460937,3290.68263858,2988.43690007,10.0,9
1001,11.304298028,1.51250488364,2896.48899357,7.97871046229,5.17148035547,3804.14985096,3648.09306792,1706.94016325,8.77777777778,10
1002,9.21691268627,1.05859581751,2896.48899357,7.97871046229,5.17148035547,1395.44753641,1462.69236334,651.857504991,5.83636363636,10
1004,8.80707170919,1.02757641085,2896.48899357,7.97871046229,5.17148035547,1721.78452912,1623.12874108,269.516867882,2.53846153846,10
1005,8.80707170919,1.02757641085,2896.48899357,7.97871046229,5.17148035547,3662.86291758,3903.44318122,981.866118792,9.375,10
1101,10.5422648694,1.54662312987,3048.11679974,7.95142053074,6.31854518969,4120.35865056,4105.83801602,1849.29750431,8.77528089888,11
1102,9.42287317504,2.02694356529,2569.63662629,5.6614418697,3.324424485,852.290088239,835.865855963,905.979787337,5.16666666667,11
1201,9.82884326928,1.53569300036,2698.8457799,8.51338289963,7.64223087206,5056.63790264,4588.65675469,1817.05565049,11.010989011,12
1202,6.99720102144,1.05339652596,2698.8457799,8.51338289963,7.64223087206,1619.81428089,1586.37923661,454.456912474,4.45454545455,12
1301,12.6548362439,1.35373911078,2539.17189434,8.60891596046,6.67473687876,2815.72991609,2838.47631464,4226.21686306,8.52960526316,13
1302,10.2730743456,3.84313244577,1850.54057439,6.35950217539,4.08941855066,2705.95111517,2800.55484494,13845.3009181,6.14516129032,13
1303,8.87082645818,1.60462902121,1805.42094433,7.17817285084,4.89489196393,2372.32846789,2370.06087509,786.0191083,6.24358974359,13
1304,12.1200119035,3.14679011892,1568.74189158,7.02910124222,3.46704582912,2863.34431286,2799.72034511,670.92191552,7.88888888889,13
1401,9.87556788685,2.00793247452,1883.94982995,8.67525257871,5.79854868325,3451.7038983,3497.91325742,1610.43265007,9.50526315789,14
1402,8.56228065927,1.40493437309,2069.05947444,8.13636118364,5.51159669585,2592.90500134,2579.79113563,857.546905624,10.5681818182,14
1403,8.5687590339,1.69581688445,1921.07996853,6.81339332966,3.19676582596,3276.17003311,3293.83411969,574.183310079,6.72727272727,14
1404,7.95756654444,1.47235992499,2069.05947444,8.13636118364,5.51159669585,2474.67428047,2464.00282261,455.279718673,8.15384615385,14
1501,12.0675610421,2.97521224419,1888.91568539,7.4454185675,5.39095599182,2508.04590604,2490.88000602,1120.26818096,5.68292682927,15
