mun,munname,duty02,duty10,pop02,pop10,empop02,empop10,workagepop02,workagepop10,prov
101,Santo Domingo de Guzmán,2.65537305408,0.859363726466,910076,965040,387662,350583,569368,627615,1
201,Azua,3.47461846823,0.899927655607,87305,91345,29516,24528,52748,57592,2
202,Las Charcas,3.27502130821,1.20232476069,10136,11243,3326,3687,5959,6870,2
203,Las Yayas de Viajama,2.49163206162,0.88858410372,17938,17620,5111,3739,10675,11112,2
204,Padre las Casas,2.43032720347,1.36482731979,22366,20041,7021,4396,13116,13192,2
205,Peralta,3.60472143991,1.26315063391,11462,15257,4080,4899,6683,9682,2
206,Sabana Yegua,2.87910921547,1.48201856918,19768,19020,6489,5444,12438,12107,2
207,Pueblo Viejo,2.55467649662,0.554014225228,10835,11235,3247,2406,6625,6970,2
208,Tábara Arriba,2.49163206162,0.88858410372,16441,17647,4660,5153,10067,11212,2
209,Guayabal,2.49163206162,0.88858410372,4929,5263,1375,1219,2928,3455,2
210,Estebanía,3.60472143991,1.26315063391,7677,5640,2547,1394,4441,3578,2
301,Neiba,4.03455163202,0.945872246162,34562,36511,9845,8338,20388,23217,3
302,Galván,3.10145332025,0.832898659675,14356,15702,3756,3187,8318,9768,3
303,Tamayo,3.71816680349,1.08404021624,23294,26772,6887,6139,13924,16795,3
304,Villa Jaragua,3.10145332025,0.832898659675,11437,10619,2592,2247,6984,6599,3
305,Los Ríos (Zona Urbana),3.10145332025,0.832898659675,7831,7709,1594,1515,4537,4768,3
401,Barahona,6.32262282074,1.25477533866,79799,83619,24716,20823,47178,52686,4
402,CABRAL,4.52027462179,1.10914450447,13907,14823,3705,3107,8154,9315,4
403,Enriquillo,5.08754034216,1.67650881351,13262,13164,4125,2827,7961,8379,4
404,Paraíso,4.97929480296,1.65601359575,13320,15390,4671,4242,7811,9423,4
405,Vicente Noble,3.89785504975,0.529145161233,20496,21605,5710,5374,12438,13739,4
406,El Peñón,2.44211352182,0.537663215866,4040,3970,1158,815,2354,2668,4
407,La Ciénaga,2.44211352182,0.537663215866,7715,9112,2246,2222,4460,5596,4
408,Fundación,2.44211352182,0.537663215866,8120,8042,2546,1959,4946,5054,4
409,Las Salinas,4.33707467842,1.04339510395,5229,4703,1128,996,3016,3088,4
410,Polo,4.33707467842,1.04339510395,9367,8186,3250,2336,5648,5017,4
411,Jaquimeyes,4.01526032233,0.534008627788,3984,4491,1220,1058,2367,2993,4
501,Dajabón,2.81989216108,0.713095153634,25685,28071,9260,9179,15302,18121,5
502,Loma de Cabrera,2.48238633867,0.825485269585,15271,15624,5207,4415,8942,10261,5
503,Partido,2.54929702165,0.8343901808,7562,6951,2931,2227,4888,4719,5
504,Restauración,2.58412348369,0.83891507332,6908,7274,2345,1565,4127,4472,5
505,El Pino,2.58412348369,0.83891507332,6620,6035,2367,1630,4255,4022,5
601,San Francisco de Macorís,3.20089118046,0.895368097707,175395,188118,64586,59341,108500,122045,6
602,Arenoso,2.95221328053,1.75473113449,13219,14062,4521,4488,8052,9073,6
603,Castillo,3.08381841722,1.6870495497,16452,15709,5261,4557,10706,10323,6
604,Pimentel,2.71077492411,1.15926047411,18280,17864,5993,5023,11200,11882,6
605,Villa Riva,3.00132101627,1.77435265311,41143,33663,14036,9194,25160,21637,6
606,Las Guáranas,2.89149325238,1.24498508255,13460,14661,4965,4606,8366,9346,6
607,Eugenio María de Hostos,3.09688544441,1.70477065841,5856,5497,1877,1421,3737,3571,6
701,Comendador,2.73035989228,0.930861644378,25475,25924,7053,5125,14920,15819,7
702,Bánica,2.85334907663,0.949185692496,7272,6533,1825,949,4472,4266,7
703,El Llano,3.79006397408,0.745474781918,8151,8344,2164,1109,4884,5036,7
704,Hondo Valle,3.79006397408,0.745474781918,10647,10587,3067,2161,6446,6742,7
705,Pedro Santana,2.85334907663,0.949185692496,7843,7281,2632,1321,4536,4308,7
706,Juan Santiago,3.79006397408,0.745474781918,4491,4360,1182,696,2753,2708,7
801,El Seibo,6.54694476708,2.76468670004,68063,66867,24425,20958,41386,43010,8
802,Miches,3.10605457141,1.19437258993,21198,20813,7617,5242,12877,13266,8
901,Moca,5.04287525887,1.13279941801,172294,179829,65912,63357,105762,117327,9
902,Cayetano Germosén,1.76140357208,0.531310021955,6993,6911,2656,2540,4264,4591,9
