mun,1,11,12,13,21,22,23,24,31,32,33,34,41,42,51,52,61,71,72,73,74,81,82,83,91,92,93,98,MUNTOTAL,share1,share11,share12,share13,share21,share22,share23,share24,share31,share32,share33,share34,share41,share42,share51,share52,share61,share71,share72,share73,share74,share81,share82,share83,share91,share92,share93,share98
101,281,18,248,435,616,548,712,1410,431,83,88,1359,2041,885,864,1671,70,442,596,143,454,15,363,484,2544,4,334,218,17357,0.0161894336579,0.00103704557239,0.0142881834418,0.0250619346661,0.035490004033,0.031572276315,0.0410209137524,0.081235236504,0.0248314800945,0.00478193236158,0.00507000057614,0.0782969407156,0.117589445181,0.0509880739759,0.0497781874748,0.0962723973037,0.00403295500374,0.0254652301665,0.0343377311747,0.00823875093622,0.0261565938814,0.00086420464366,0.0209137523766,0.0278850031688,0.146569107565,0.000230454571643,0.0192429567322,0.0125597741545
201,24,3,5,2,2,47,69,20,10,16,26,31,54,29,33,73,61,55,42,2,26,3,6,54,162,23,44,15,937,0.025613660619,0.00320170757737,0.00533617929562,0.00213447171825,0.00213447171825,0.0501600853789,0.0736392742796,0.0213447171825,0.0106723585912,0.017075773746,0.0277481323372,0.0330843116329,0.0576307363927,0.0309498399146,0.0352187833511,0.0779082177161,0.0651013874066,0.0586979722519,0.0448239060832,0.00213447171825,0.0277481323372,0.00320170757737,0.00640341515475,0.0576307363927,0.172892209178,0.0245464247599,0.0469583778015,0.0160085378869
202,5,2,0,1,0,30,8,1,1,0,4,6,10,2,8,35,40,12,10,0,7,0,3,8,62,23,15,5,298,0.0167785234899,0.00671140939597,0.0,0.00335570469799,0.0,0.10067114094,0.0268456375839,0.00335570469799,0.00335570469799,0.0,0.0134228187919,0.0201342281879,0.0335570469799,0.00671140939597,0.0268456375839,0.11744966443,0.134228187919,0.0402684563758,0.0335570469799,0.0,0.0234899328859,0.0,0.010067114094,0.0268456375839,0.208053691275,0.0771812080537,0.0503355704698,0.0167785234899
203,1,16,3,0,0,12,16,2,1,3,3,1,9,2,4,15,17,14,1,0,5,0,3,8,27,4,12,3,182,0.00549450549451,0.0879120879121,0.0164835164835,0.0,0.0,0.0659340659341,0.0879120879121,0.010989010989,0.00549450549451,0.0164835164835,0.0164835164835,0.00549450549451,0.0494505494505,0.010989010989,0.021978021978,0.0824175824176,0.0934065934066,0.0769230769231,0.00549450549451,0.0,0.0274725274725,0.0,0.0164835164835,0.043956043956,0.148351648352,0.021978021978,0.0659340659341,0.0164835164835
204,6,1,4,1,0,28,18,4,2,2,7,8,31,18,10,20,43,15,10,1,4,1,5,18,60,15,12,8,352,0.0170454545455,0.00284090909091,0.0113636363636,0.00284090909091,0.0,0.0795454545455,0.0511363636364,0.0113636363636,0.00568181818182,0.00568181818182,0.0198863636364,0.0227272727273,0.0880681818182,0.0511363636364,0.0284090909091,0.0568181818182,0.122159090909,0.0426136363636,0.0284090909091,0.00284090909091,0.0113636363636,0.00284090909091,0.0142045454545,0.0511363636364,0.170454545455,0.0426136363636,0.0340909090909,0.0227272727273
205,5,2,0,1,0,30,8,1,1,0,4,6,10,2,8,35,40,12,10,0,7,0,3,8,62,23,15,5,298,0.0167785234899,0.00671140939597,0.0,0.00335570469799,0.0,0.10067114094,0.0268456375839,0.00335570469799,0.00335570469799,0.0,0.0134228187919,0.0201342281879,0.0335570469799,0.00671140939597,0.0268456375839,0.11744966443,0.134228187919,0.0402684563758,0.0335570469799,0.0,0.0234899328859,0.0,0.010067114094,0.0268456375839,0.208053691275,0.0771812080537,0.0503355704698,0.0167785234899
206,6,1,4,1,0,28,18,4,2,2,7,8,31,18,10,20,43,15,10,1,4,1,5,18,60,15,12,8,352,0.0170454545455,0.00284090909091,0.0113636363636,0.00284090909091,0.0,0.0795454545455,0.0511363636364,0.0113636363636,0.00568181818182,0.00568181818182,0.0198863636364,0.0227272727273,0.0880681818182,0.0511363636364,0.0284090909091,0.0568181818182,0.122159090909,0.0426136363636,0.0284090909091,0.00284090909091,0.0113636363636,0.00284090909091,0.0142045454545,0.0511363636364,0.170454545455,0.0426136363636,0.0340909090909,0.0227272727273
207,24,3,5,2,2,47,69,20,10,16,26,31,54,29,33,73,61,55,42,2,26,3,6,54,162,23,44,15,937,0.025613660619,0.00320170757737,0.00533617929562,0.00213447171825,0.00213447171825,0.0501600853789,0.0736392742796,0.0213447171825,0.0106723585912,0.017075773746,0.0277481323372,0.0330843116329,0.0576307363927,0.0309498399146,0.0352187833511,0.0779082177161,0.0651013874066,0.0586979722519,0.0448239060832,0.00213447171825,0.0277481323372,0.00320170757737,0.00640341515475,0.0576307363927,0.172892209178,0.0245464247599,0.0469583778015,0.0160085378869
208,1,16,3,0,0,12,16,2,1,3,3,1,9,2,4,15,17,14,1,0,5,0,3,8,27,4,12,3,182,0.00549450549451,0.0879120879121,0.0164835164835,0.0,0.0,0.0659340659341,0.0879120879121,0.010989010989,0.00549450549451,0.0164835164835,0.0164835164835,0.00549450549451,0.0494505494505,0.010989010989,0.021978021978,0.0824175824176,0.0934065934066,0.0769230769231,0.00549450549451,0.0,0.0274725274725,0.0,0.0164835164835,0.043956043956,0.148351648352,0.021978021978,0.0659340659341,0.0164835164835
209,1,16,3,0,0,12,16,2,1,3,3,1,9,2,4,15,17,14,1,0,5,0,3,8,27,4,12,3,182,0.00549450549451,0.0879120879121,0.0164835164835,0.0,0.0,0.0659340659341,0.0879120879121,0.010989010989,0.00549450549451,0.0164835164835,0.0164835164835,0.00549450549451,0.0494505494505,0.010989010989,0.021978021978,0.0824175824176,0.0934065934066,0.0769230769231,0.00549450549451,0.0,0.0274725274725,0.0,0.0164835164835,0.043956043956,0.148351648352,0.021978021978,0.0659340659341,0.0164835164835
