HS2,year,duty
01,1996,6.159090875
01,1997,6.159090875
01,1998,6.159090875
01,1999,6.159090875
01,2000,6.159090875
01,2001,6.0
01,2002,6.0
01,2003,6.5
01,2004,6.5
01,2005,6.5
01,2006,6.5
02,1996,19.279245283
02,1997,19.279245283
02,1998,19.279245283
02,1999,19.279245283
02,2000,19.279245283
02,2001,26.9339622642
02,2002,26.9339622642
02,2003,27.0641509434
02,2004,27.0641509434
02,2005,27.0641509434
02,2006,27.0490566038
03,1996,18.7701149425
03,1997,18.7701149425
03,1998,18.7701149425
03,1999,18.7701149425
03,2000,18.7701149425
03,2001,17.3103448276
03,2002,17.3103448276
03,2003,17.4568965517
03,2004,17.4568965517
03,2005,17.4568965517
03,2006,17.4568965517
04,1996,17.2222222222
04,1997,17.2222222222
04,1998,17.2222222222
04,1999,17.2222222222
04,2000,17.2222222222
04,2001,17.2592592593
04,2002,17.2592592593
04,2003,17.2592592593
04,2004,17.2592592593
04,2005,17.2592592593
04,2006,17.2592592593
05,1996,3.11764705882
05,1997,3.11764705882
05,1998,3.11764705882
05,1999,3.11764705882
05,2000,3.11764705882
05,2001,0.647058823529
05,2002,0.647058823529
05,2003,0.647058823529
05,2004,0.647058823529
05,2005,0.647058823529
05,2006,0.647058823529
06,1996,8.58333333333
06,1997,8.58333333333
06,1998,8.58333333333
06,1999,8.58333333333
06,2000,8.58333333333
06,2001,8.33333333333
06,2002,8.33333333333
06,2003,8.33333333333
06,2004,8.33333333333
06,2005,8.33333333333
06,2006,8.33333333333
07,1996,19.6909090909
07,1997,19.6909090909
07,1998,19.6909090909
07,1999,19.6909090909
07,2000,19.6909090909
07,2001,20.0909090909
07,2002,20.0909090909
07,2003,20.0909090909
07,2004,20.0909090909
07,2005,20.0909090909
07,2006,20.0909090909
08,1996,19.4444444444
08,1997,19.4444444444
08,1998,19.4444444444
08,1999,19.4444444444
08,2000,19.4444444444
08,2001,19.4444444444
08,2002,19.4444444444
08,2003,19.4444444444
08,2004,19.4444444444
08,2005,19.4444444444
08,2006,19.4444444444
09,1996,13.0625
09,1997,13.0625
09,1998,13.0625
09,1999,13.0625
09,2000,13.0625
09,2001,15.3125
09,2002,15.3125
09,2003,15.3125
09,2004,15.3125
09,2005,15.3125
09,2006,15.3125
10,1996,6.8125
10,1997,6.8125
10,1998,6.8125
10,1999,6.8125
10,2000,6.8125
10,2001,5.1875
10,2002,5.1875
10,2003,5.1875
10,2004,5.1875
10,2005,5.1875
10,2006,5.125
11,1996,8.68965517241
11,1997,8.68965517241
11,1998,8.68965517241
11,1999,8.68965517241
11,2000,8.68965517241
11,2001,9.10344827586
11,2002,9.10344827586
11,2003,9.10344827586
11,2004,9.10344827586
11,2005,9.10344827586
11,2006,9.10344827586
12,1996,2.75609756098
12,1997,2.75609756098
12,1998,2.75609756098
12,1999,2.75609756098
12,2000,2.75609756098
12,2001,0.19512195122
12,2002,0.682926829268
12,2003,0.682926829268
12,2004,0.682926829268
12,2005,0.682926829268
12,2006,0.878048780488
13,1996,3.0
13,1997,3.0
13,1998,3.0
13,1999,3.0
13,2000,3.0
13,2001,8.08333333333
13,2002,8.08333333333
13,2003,8.08333333333
13,2004,8.08333333333
13,2005,8.08333333333
13,2006,8.08333333333
14,1996,3.625
14,1997,3.625
14,1998,3.625
14,1999,3.625
14,2000,3.625
14,2001,7.21875
14,2002,7.21875
14,2003,7.21875
