HS6,1996DFLines,1996AvgRate,1996NumLines,1997DFLines,1997AvgRate,1997NumLines,1998DFLines,1998AvgRate,1998NumLines,1999DFLines,1999AvgRate,1999NumLines,2000DFLines,2000AvgRate,2000NumLines,2001DFLines,2001AvgRate,2001NumLines,2002DFLines,2002AvgRate,2002NumLines,2003DFLines,2003AvgRate,2003NumLines,2004DFLines,2004AvgRate,2004NumLines,2005DFLines,2005AvgRate,2005NumLines,2006DFLines,2006AvgRate,2006NumLines,Base,duty2007,duty2008,duty2009,duty2010,duty2011,duty2012,duty2013,duty2014,duty2015
'010111,,3.0,1.0,,3.0,1.0,,3.0,1.0,,3.0,1.0,,3.0,1.0,1.0,0.0,,1.0,0.0,,1.0,8.0,1.0,1.0,8.0,1.0,1.0,8.0,1.0,1.0,8.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'010119,,8.0,2.0,,8.0,2.0,,8.0,2.0,,8.0,2.0,,8.0,2.0,,8.0,2.0,,8.0,2.0,,8.0,1.0,,8.0,1.0,,8.0,1.0,,8.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'010210,1.0,0.0,,1.0,0.0,,1.0,0.0,,1.0,0.0,,1.0,0.0,,1.0,0.0,,1.0,0.0,,1.0,0.0,,1.0,0.0,,1.0,0.0,,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'010290,,8.0,2.0,,8.0,2.0,,8.0,2.0,,8.0,2.0,,8.0,2.0,,8.0,2.0,,8.0,2.0,,8.0,2.0,,8.0,2.0,,8.0,2.0,,8.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'010310,1.0,0.0,,1.0,0.0,,1.0,0.0,,1.0,0.0,,1.0,0.0,,1.0,0.0,,1.0,0.0,,1.0,0.0,,1.0,0.0,,1.0,0.0,,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'010391,,8.0,1.0,,8.0,1.0,,8.0,1.0,,8.0,1.0,,8.0,1.0,,8.0,1.0,,8.0,1.0,,8.0,1.0,,8.0,1.0,,8.0,1.0,,8.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'010392,,8.0,1.0,,8.0,1.0,,8.0,1.0,,8.0,1.0,,8.0,1.0,,8.0,1.0,,8.0,1.0,,8.0,1.0,,8.0,1.0,,8.0,1.0,,8.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'010410,1.0,8.0,2.0,1.0,8.0,2.0,1.0,8.0,2.0,1.0,8.0,2.0,1.0,8.0,2.0,1.0,8.0,2.0,1.0,8.0,2.0,1.0,8.0,2.0,1.0,8.0,2.0,1.0,8.0,2.0,1.0,8.0,2.0,5.33333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'010420,1.0,8.0,2.0,1.0,8.0,2.0,1.0,8.0,2.0,1.0,8.0,2.0,1.0,8.0,2.0,1.0,8.0,2.0,1.0,8.0,2.0,1.0,8.0,2.0,1.0,8.0,2.0,1.0,8.0,2.0,1.0,8.0,2.0,5.33333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'010511,1.0,0.0,,1.0,0.0,,1.0,0.0,,1.0,0.0,,1.0,0.0,,1.0,0.0,,1.0,0.0,,1.0,0.0,,1.0,0.0,,1.0,0.0,,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'010512,,8.0,1.0,,8.0,1.0,,8.0,1.0,,8.0,1.0,,8.0,1.0,,8.0,1.0,,8.0,1.0,,8.0,1.0,,8.0,1.0,,8.0,1.0,,8.0,1.0,8.0,6.66666666667,5.33333333333,4.0,2.66666666667,1.33333333333,0.0,0.0,0.0,0.0
'010519,,8.0,1.0,,8.0,1.0,,8.0,1.0,,8.0,1.0,,8.0,1.0,,8.0,1.0,,8.0,1.0,,8.0,1.0,,8.0,1.0,,8.0,1.0,,8.0,1.0,8.0,6.66666666667,5.33333333333,4.0,2.66666666667,1.33333333333,0.0,0.0,0.0,0.0
'010592,1.0,8.0,1.0,1.0,8.0,1.0,1.0,8.0,1.0,1.0,8.0,1.0,1.0,8.0,1.0,1.0,8.0,1.0,1.0,8.0,1.0,1.0,8.0,1.0,1.0,8.0,1.0,1.0,8.0,1.0,1.0,8.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'010593,1.0,8.0,1.0,1.0,8.0,1.0,1.0,8.0,1.0,1.0,8.0,1.0,1.0,8.0,1.0,1.0,8.0,1.0,1.0,8.0,1.0,1.0,8.0,1.0,1.0,8.0,1.0,1.0,8.0,1.0,1.0,8.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
