HS8,Description,Base,Category,HS4,HS6,Cat
1011010,- - CABALLOS,0.0,G,'0101,'010110,G
1011090,- - LOS DEMÁS,8.0,A,'0101,'010110,A
1019000,- LOS DEMÁS,8.0,A,'0101,'010190,A
1021000,-REPRODUCTORES DE RAZA PURA,0.0,G,'0102,'010210,G
1029010,- -PUROS POR CRUZA,8.0,A,'0102,'010290,A
1029090,- -LOS DEMAS,8.0,A,'0102,'010290,A
1031000,- REPRODUCTORES DE RAZA PURA,0.0,G,'0103,'010310,G
1039100,- -DE PESO INFERIOR A 50 KG,8.0,A,'0103,'010391,A
1039200,- -DE PESO SUPERIOR O IGUAL A 50 KG,8.0,A,'0103,'010392,A
1041010,- - REPRODUCTORES DE RAZA PURA,0.0,G,'0104,'010410,G
1041020,- - PUROS POR CRUZA,8.0,A,'0104,'010410,A
1041090,- - LOS DEMÁS,8.0,A,'0104,'010410,A
1042010,- - REPRODUCTORES DE RAZA PURA,0.0,G,'0104,'010420,G
1042020,- - PUROS POR CRUZA,8.0,A,'0104,'010420,A
1042090,- - LOS DEMÁS,8.0,A,'0104,'010420,A
1051100,- - GALLOS Y GALLINAS,0.0,G,'0105,'010511,G
1051200,- - PAVOS (GALLIPAVOS),8.0,B,'0105,'010512,B
1051900,- - LOS DEMÁS,8.0,B,'0105,'010519,B
1059210,- - - REPRODUCTORES AVÍCOLAS,0.0,G,'0105,'010592,G
1059290,- - - LOS DEMÁS,8.0,A,'0105,'010592,A
1059310,- - - REPRODUCTORES AVÍCOLAS,0.0,G,'0105,'010593,G
1059390,- - - LOS DEMÁS,8.0,A,'0105,'010593,A
1059910,- - - REPRODUCTORES AVÍCOLAS,0.0,G,'0105,'010599,G
1059990,- - - LOS DEMÁS,8.0,A,'0105,'010599,A
1061100,- - PRIMATES,8.0,A,'0106,'010611,A
1061200,- - BALLENAS; DELFINES Y MARSOPAS (MAMÍFEROS DEL ORDEN DE LOS CETÁCEOS);,8.0,A,'0106,'010612,A
1061900,- - LOS DEMÁS,8.0,A,'0106,'010619,A
1062000,- REPTILES (INCLUIDAS SERPIENTES Y TORTUGAS),8.0,A,'0106,'010620,A
1063100,- - AVES DE PRESA,8.0,A,'0106,'010631,A
1063200,- - PSITTACIFORMES (INCLUIDOS LOROS; PERIQUITOS; GUACAMAYOS Y CACATÚAS),8.0,A,'0106,'010632,A
1063900,- -LOS DEMÁS,8.0,A,'0106,'010639,A
1069011,- - ABEJAS Y DEMÁS INSECTOS,0.0,G,'0106,'010690,G
1069090,- - LOS DEMÁS,8.0,A,'0106,'010690,A
2011000,- EN CANALES O MEDIAS CANALES,40.0,D,'0201,'020110,D
2012010,CORTES FINOS Y SELECTOS DE CARNE DE RES FRESCO O REFRIGERADO SIN DESHUESAR/2,40.0,See paragraph 3 of Appendix I to the General Notes of the Dominican Republic to Annex 3.3,'0201,'020120,SP
2012090,LOS DEMÁS CORTES (TROZOS) DE RES FRESCOS O REFRIGERADOS SIN DESHUESAR,40.0,D,'0201,'020120,D
