HS8,Description,Base,Category,HS4,HS6,Cat,duty2007,duty2008,duty2009,duty2010,duty2011,duty2012,duty2013,duty2014,duty2015,HS1996
1011010,- - CABALLOS,0.0,G,'0101,'010110,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'010111
1011090,- - LOS DEMÁS,8.0,A,'0101,'010110,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'010111
1019000,- LOS DEMÁS,8.0,A,'0101,'010190,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'010119
1021000,-REPRODUCTORES DE RAZA PURA,0.0,G,'0102,'010210,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'010210
1029010,- -PUROS POR CRUZA,8.0,A,'0102,'010290,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'010290
1029090,- -LOS DEMAS,8.0,A,'0102,'010290,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'010290
1031000,- REPRODUCTORES DE RAZA PURA,0.0,G,'0103,'010310,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'010310
1039100,- -DE PESO INFERIOR A 50 KG,8.0,A,'0103,'010391,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'010391
1039200,- -DE PESO SUPERIOR O IGUAL A 50 KG,8.0,A,'0103,'010392,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'010392
1041010,- - REPRODUCTORES DE RAZA PURA,0.0,G,'0104,'010410,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'010410
1041020,- - PUROS POR CRUZA,8.0,A,'0104,'010410,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'010410
1041090,- - LOS DEMÁS,8.0,A,'0104,'010410,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'010410
1042010,- - REPRODUCTORES DE RAZA PURA,0.0,G,'0104,'010420,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'010420
1042020,- - PUROS POR CRUZA,8.0,A,'0104,'010420,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'010420
1042090,- - LOS DEMÁS,8.0,A,'0104,'010420,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'010420
1051100,- - GALLOS Y GALLINAS,0.0,G,'0105,'010511,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'010511
