inctot,mun
9178.73324883,101
5410.88580576,201
2470.48993289,202
2912.41758242,203
2730.62215909,204
2470.48993289,205
2730.62215909,206
5410.88580576,207
2912.41758242,208
2912.41758242,209
2470.48993289,210
3690.54896907,301
3690.54896907,302
2989.82329317,303
3690.54896907,304
3690.54896907,305
7781.24507659,401
5587.91866029,402
3574.36956522,403
3574.36956522,404
6041.3373494,405
7781.24507659,406
7781.24507659,407
7781.24507659,408
5587.91866029,409
5587.91866029,410
6041.3373494,411
6006.95114007,501
3539.29234973,502
3539.29234973,503
3539.29234973,504
3539.29234973,505
333.49112642,601
2867.92440178,602
1907.11636364,603
2508.3125,604
2867.92440178,605
2508.3125,606
1907.11636364,607
4080.83783784,701
4080.83783784,702
3061.39393939,703
3061.39393939,704
4080.83783784,705
3061.39393939,706
2601.30841121,801
2525.47540984,802
568.127998553,901
568.127998553,902
3363.44719588,903
3363.44719588,904
4491.92944039,1001
4491.92944039,1002
4491.92944039,1003
4491.92944039,1004
4491.92944039,1005
4491.92944039,1006
475.861880258,1101
2824.58772873,1102
4185.42063882,1201
4185.42063882,1202
0.0,1203
285.359859565,1301
1337.34188161,1302
1041.51584554,1303
2108.26995305,1304
684.881310583,1401
1084.65073051,1402
2634.68001568,1403
1084.65073051,1404
570.001381711,1501
601.283862194,1502
717.617627912,1503
717.617627912,1504
570.001381711,1505
601.283862194,1506
4514.30232558,1601
4514.30232558,1602
1169.43142177,1701
3710.49038499,1702
21.4066004877,1801
102.829861768,1802
102.829861768,1803
102.451963759,1804
72.7191694716,1805
72.7191694716,1806
49.5549455879,1807
72.7191694716,1808
49.5549455879,1809
111.252261101,1901
152.295640206,1902
188.168300343,1903
3196.20708447,2001
3112.20898876,2002
3112.20898876,2003
4655.27314968,2101
2883.01655629,2102
4043.00870147,2103
5490.98671096,2104
3117.40017138,2105
2885.96160878,2106
2828.56481481,2107
2883.01655629,2108
50.6644128465,2201
50.6644128465,2202
498.374496819,2203
50.6644128465,2204
516.827417143,2205
498.374496819,2206
4241.32051282,2301
2336.44481054,2302
4241.32051282,2303
3019.05956679,2304
2336.44481054,2305
2336.44481054,2306
3823.03738318,2401
3823.03738318,2402
3286.78301887,2403
2202.12612613,2404
4667.04188078,2501
2735.76354029,2502
3046.22661871,2503
3205.30684327,2504
2717.40145985,2505
3334.11466667,2506
3006.41627907,2507
0.0,2508
2477.38557692,2509
3204.29923664,2601
3204.29923664,2602
3204.29923664,2603
1483.63497838,2701
1209.33522607,2702
3098.31546921,2703
394.124351056,2801
1069.31094264,2802
1069.31094264,2803
1169.87084903,2901
1009.77193533,2902
1731.80945854,2903
1253.05222636,2904
2420.15387002,2905
3889.95079365,3001
2526.6719057,3002
2526.6719057,3003
2874.74238876,3101
2962.24358974,3102
2962.24358974,3103
5969.58444958,3201
6335.89131685,3202
5519.62981118,3203
4582.21228616,3204
2466.02401747,3205
4522.6943967,3206
4259.29799427,3207
2802.95631975,MEAN
