PROV,MUN,grossalary,occinc,frstsourcinc,yearsedu,CODIGO
1,01,2.97526107149,3.0836378176,1.45398625401,13.4642857143,101
2,01,1.32940363051,1.37876953311,0.712457659219,12.5294117647,201
2,02,1.82479673912,1.67799485022,0.190469473054,11.0,202
2,03,1.56405021119,0.534856548905,,14.0,203
2,04,1.41553553555,1.41513748842,0.392423276138,12.7142857143,204
2,05,1.26856586706,1.2662138561,0.104865322224,13.0769230769,205
2,06,1.15620945503,1.14489868182,0.892825489092,12.75,206
2,08,0.627464309539,0.721651190925,0.534856548905,12.7142857143,208
2,09,0.68265083203,0.681257667067,0.246512800455,11.4,209
3,01,1.16434317539,1.13327826359,0.595357156245,11.9615384615,301
3,02,8.11172898498,8.04933106971,,9.0,302
3,03,1.04614998196,1.16833399106,33.159838081,12.375,303
3,04,2.43883923368,2.22706841852,0.677526938553,12.8461538462,304
3,05,0.932375484708,0.930174501012,0.540508322065,12.0,305
4,01,1.48333608837,1.50153867126,4.36130837521,13.1012658228,401
4,02,0.718740882078,0.717752382269,0.349290383096,13.3333333333,402
4,03,1.02234503668,1.07281279131,0.226455404544,12.625,403
4,04,1.10611749656,1.095454689,0.544922132204,12.2352941176,404
4,05,1.31306220845,1.4335369607,0.343523436192,13.7368421053,405
4,06,1.16393667888,1.1628223944,0.903296949578,12.75,406
4,07,12.5539459364,12.4612169932,0.49148979371,11.4,407
4,09,3.34628118445,3.29489111119,0.29087634035,13.5,409
4,10,0.782185613578,0.775503144347,0.545999393674,11.0,410
4,11,2.719536674,2.71918915026,0.16761904868,14.0,411
5,01,1.37106824662,1.36860606357,1.34958154059,12.24,501
5,02,1.59380764443,1.58985825152,0.868128240199,12.0,502
5,03,1.00069118161,1.15170434169,0.546697313877,12.3125,503
5,05,2.52275355533,2.36795744829,2.43803868582,14.0,505
6,01,1.99410722686,2.01782796968,4.49949019932,12.4745762712,601
6,02,1.40430967107,1.39687945793,0.200170063428,12.0,602
6,03,1.88135927504,1.87040031988,1.33714137226,12.9230769231,603
6,04,1.58782649714,1.31339258446,0.292334455189,12.3333333333,604
6,05,1.23636146228,1.22298796309,0.382575994845,10.9166666667,605
6,06,0.689980247791,0.686621262035,0.463397217684,11.625,606
7,01,0.986447867735,0.983612115529,0.489792137986,11.3636363636,701
7,02,0.868721000013,0.801896307705,,11.0,702
7,04,1.06958359259,1.06958359259,0.133649384617,12.0,704
8,01,1.10874660388,1.13036876479,0.840907399216,12.1111111111,801
9,01,1.48618202569,1.48958835906,0.679254603806,12.2592592593,901
9,03,1.12948532854,0.70566943186,0.513632597154,10.8,903
9,04,2.09862655334,2.09516889485,1.78909495454,13.2,904
10,01,1.72508197609,1.57059342466,0.817826445023,12.875,1001
10,02,0.523939337421,0.566594158751,0.292691939084,11.7692307692,1002
10,05,2.19675462458,2.65785446532,0.564000512346,13.75,1005
11,01,2.29903368591,2.28702463915,1.0790029005,11.8550724638,1101
11,02,0.381085291095,0.380416720409,0.180915227667,9.5,1102
12,01,2.57186819362,2.20316171486,0.88497745931,13.9272727273,1201
12,02,1.70286633287,1.70286633287,0.182449964236,9.0,1202
12,03,1.7197317345,1.70508564894,0.93739955036,12.3783783784,1203
13,01,1.48759148302,1.49180099118,0.994358361339,12.5416666667,1301
13,02,1.55521999955,1.64688335281,1.70046469214,11.8823529412,1302
13,03,1.0964954072,1.09142381497,0.617886210794,12.2,1303
13,04,1.36561873087,1.3474854707,0.435411362823,12.0,1304
14,01,1.95544286898,1.97074762636,0.836910896873,12.8545454545,1401
14,02,1.35844477644,1.36269270576,0.334602265031,13.8518518519,1402
14,03,1.29052445125,1.31472498912,0.289316289302,11.0769230769,1403
